Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
EPSTEIN SYNDROME,MYH9-Related Disorders,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C15.378.140.855,,,,,,,,,,,,,,,,,,"A spectrum of disorders caused by mutations in the MYH9 gene (OMIM: 160775) and characterized by thrombocytopenia, large platelets, and distinct lleukocyte inclusions (Dohle-like bodies); sensorineural deafness, CATARACTS, and NEPHRITIS may also occur.","*Hearing Loss, Sensorineural;Thrombocytopenia/*congenital"
"HYPOMAGNESEMIA 2, RENAL","Hypomagnesemia 2, renal",C12.777.419.815,C13.351.968.419.815,C16.320.565.861,C18.452.648.861,,,,,,,,,,,,,,,,,,,"*Renal Tubular Transport, Inborn Errors"
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE","Acrofacial dysostosis, Nager type",C05.116.099.370.231.576,C05.660.207.231.576,C16.131.621.207.231.576,,,,,,,,,,,,,,,,,,,"A autosomal dominant mandibulofacial dystosis characterized by downslanted palpebral fissures, midface retrusion, and MICROGNATHIA requiring  TRACHEOSTOMY in early childhood. Limb defects typically involve the anterior (radial) elements of the upper limbs and manifest as small or absent thumbs, triphalangeal thumbs, radial hypoplasia or aplasia, and radioulnar synostosis. PHOCOMELIA of the upper limbs and, occasionally, lower-limb defects has also been reported. Mutations in the SF3B4 gene have been identified. OMIM: 154400",*Mandibulofacial Dysostosis
TREACHER COLLINS SYNDROME 1,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL SYNDROME,Marshall syndrome,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C11.510.245,C05.116.099.708,C16.320.728,D05.750.078.280.300.500,D12.776.860.300.250.300.500,C05.660.207,C16.131.621.207,,,,,,,,,,,,,"*Hearing Loss, Sensorineural;*Cataract;*Osteochondrodysplasias;Collagen Type XI/*deficiency;*Craniofacial Abnormalities"
MAY-HEGGLIN ANOMALY,MYH9-Related Disorders,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C15.378.140.855,,,,,,,,,,,,,,,,,,"A spectrum of disorders caused by mutations in the MYH9 gene (OMIM: 160775) and characterized by thrombocytopenia, large platelets, and distinct lleukocyte inclusions (Dohle-like bodies); sensorineural deafness, CATARACTS, and NEPHRITIS may also occur.","*Hearing Loss, Sensorineural;Thrombocytopenia/*congenital"
MELANOMA-ASTROCYTOMA SYNDROME,Melanoma astrocytoma syndrome,C04.588.614,C10.551,C04.557.465.625.600.380.080,C04.557.470.670.380.080,C04.557.580.625.600.380.080,C04.557.465.625.650.510,C04.557.580.625.650.510,C04.557.665.510,,,,,,,,,,,,,,Familial proneness to melanoma and nervous system tumors,*Nervous System Neoplasms;*Astrocytoma;*Melanoma
METACHONDROMATOSIS,Metachondromatosis,C04.557.450.565.265.270,C04.557.450.565.575.610.615.325,C04.700.330,C05.116.099.708.670.615.325,C05.116.540.310.500,C16.320.700.330,C04.588.149,C05.116.231,,,,,,,,,,,,,,mutation in PTPN11,"*Chondromatosis;*Exostoses, Multiple Hereditary;*Bone Neoplasms"
"METAPHYSEAL CHONDRODYSPLASIA, JANSEN TYPE",Jansen type metaphyseal chondrodysplasia,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
"METAPHYSEAL CHONDRODYSPLASIA, SCHMID TYPE",Metaphyseal chondrodysplasia Schmid type,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
METAPHYSEAL DYSPLASIA WITH MAXILLARY HYPOPLASIA AND BRACHYDACTYLY,Metaphyseal Dysplasia with Maxillary Hypoplasia and Brachydactyly,A01.378.800.667.430,C05.660.585.262,C16.131.621.585.262,C05.116.099.708,C16.320.728,C23.550.291.812,E01.370.600.230,A02.835.232.781.324.502.645,A14.521.645,,,,,,,,,,,,,,Fingers/*abnormalities;*Brachydactyly;*Osteochondrodysplasias;*Facies;Maxilla/*abnormalities
METATROPIC DYSPLASIA,Metatropic dwarfism,C05.116.099.708,C16.320.728,C05.116.099.343,C16.320.240,C19.297,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias;*Dwarfism
KNIEST DYSPLASIA,Kniest dysplasia,A01.456.505,C05.500.460.185,C05.660.207.540.460.185,C07.320.440.185,C07.465.525.185,C07.650.500.460.185,C07.650.525.185,C16.131.621.207.540.460.185,C16.131.850.500.460.185,C16.131.850.525.185,C05.116.099.708,C16.320.728,C08.381.842.475,C08.618.842.475,C16.614.521.563.475,C17.300.200,C05.116.099.343,C16.320.240,C19.297,,,,Face/*abnormalities;*Cleft Palate;*Osteochondrodysplasias;*Hyaline Membrane Disease;*Collagen Diseases;*Dwarfism
"SKIN CREASES, MULTIPLE BENIGN RING-SHAPED, OF LIMBS",Michelin tire baby syndrome,C16.131.831,C17.800.804,C04.445,C16.320.850.180,C17.300.230,C17.800.827.180,,,,,,,,,,,,,,,,,*Skin Abnormalities;*Hamartoma;Cutis Laxa/*congenital
HOLOPROSENCEPHALY 2,Holoprosencephaly 2,C05.660.207.410,C10.500.034.875,C16.131.077.410,C16.131.260.380,C16.131.621.207.410,C16.131.666.034.875,C16.320.180.380,,,,,,,,,,,,,,,PROM,*Holoprosencephaly
"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",,,,,,,,,,,,,,,,,,,,,,,,
MIRROR MOVEMENTS 1,,,,,,,,,,,,,,,,,,,,,,,,
"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT, 1","Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal
 Dominant, 1",C18.452.660,C10.292.562.750,C10.597.622.447,C11.590.472,C23.888.592.636.447,,,,,,,,,,,,,,,,,,*Mitochondrial Diseases;*Ophthalmoplegia
MULLERIAN APLASIA AND HYPERANDROGENISM,Mullerian Aplasia and Hyperandrogenism,C12.706.316.064.500,C12.706.316.129.750,C13.351.875.253.064.500,C13.351.875.253.129.750,C16.131.939.316.064.500,C16.131.939.316.129.750,C19.391.119.064.500,C19.391.119.129.750,A16.623,,,,,,,,,,,,,,*Hyperandrogenism;Mullerian Ducts/*abnormalities
"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA",,,,,,,,,,,,,,,,,,,,,,,,
"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA","Neuropathy, Distal Hereditary Motor, Type IIA",C10.500.300.200,C10.574.500.495.200,C10.668.829.800.300.200,C16.131.666.300.200,C16.320.400.375.200,C10.228.854.468,C10.574.562.500,C10.668.467.500,,,,,,,,,,,,,,mutation in HSPB8,"*Charcot-Marie-Tooth Disease;*Muscular Atrophy, Spinal"
BETHLEM MYOPATHY,Bethlem myopathy,C05.550.323,C05.651.197,C05.651.534.500,C10.668.491.175.500,C16.320.577,,,,,,,,,,,,,,,,,"A hereditary myopathy characterized by skeletal muscle weakness and contractures of the finger, wrist, and ankle joints. Onset can be at any age; affected children may be delayed in reaching developmental milestones and most patients over age 50 have difficulty walking without assistance. Skin abnormalities such as follicular hyperkeratosis may occur in some cases. Mutations in the COL6A1, COL6A2, and COL6A3 genes have been identified. OMIM: 158810",*Contracture;Muscular Dystrophies/*congenital
FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1A,Facioscapulohumeral muscular dystrophy 1a,C05.651.534.500.400,C10.668.491.175.500.400,C16.320.577.400,,,,,,,,,,,,,,,,,,,PROM,"*Muscular Dystrophy, Facioscapulohumeral"
FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 2,,,,,,,,,,,,,,,,,,,,,,,,
MYELOCEREBELLAR DISORDER,Myelocerebellar Disorder,C10.228.140.252.190,C10.597.350.090.500,C23.888.592.350.090.200,C15.378.700,,,,,,,,,,,,,,,,,,,*Cerebellar Ataxia;*Pancytopenia
MYOCLONIC DYSTONIA,Myoclonic dystonia,C10.228.662.300,,,,,,,,,,,,,,,,,,,,,"A genetically heterogeneous disorder characterized by myoclonic jerks affecting mostly proximal muscles. DYSTONIA, usually TORTICOLLIS or writer's cramp, is observed in most patients, but occasionally can be the only symptom of the disorder. Onset is usually in childhood or adolescence and symptoms often respond to ALCOHOL DRINKING; patients can also have MENTAL DISORDERS. Mutations in the SGCE abd DRD2 genes have been identified. OMIM: 159900",*Dystonic Disorders
"EPISODIC ATAXIA, TYPE 1","Episodic Ataxia, Type 1",C10.597.613.650,C23.888.592.608.650,C10.597.350.090,C23.888.592.350.090,,,,,,,,,,,,,,,,,,,*Myokymia;*Ataxia
NAEGELI SYNDROME,Naegeli syndrome,C17.800.946.370,C16.131.077.350,C16.131.831.350,C16.320.850.250,C17.800.804.350,C17.800.827.250,C16.320.850.475,C17.800.428.435,C17.800.827.475,,,,,,,,,,,,,"Reticular skin changes, dental anomalies, decreased function of sweat glands, strabismus, and optic atrophy","*Hypohidrosis;*Ectodermal Dysplasia;*Keratoderma, Palmoplantar"
NARCOLEPSY 1,Narcolepsy 1,C10.886.425.800.200.750,F03.870.400.800.200.750,,,,,,,,,,,,,,,,,,,,PROM,*Narcolepsy
NEMALINE MYOPATHY 3,Nemaline myopathy 3,C05.651.575.290,C10.668.491.550.290,,,,,,,,,,,,,,,,,,,,,"*Myopathies, Nemaline"
"HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE",Juvenile gout,C05.550.114.423,C05.799.414,C16.320.565.798.368,C18.452.648.798.368,C23.550.449,C12.777.419,C13.351.968.419,,,,,,,,,,,,,,,"An autosomal dominant disorder characterized by hyperuricemia due to a low fractional excretion of URIC ACID, defective urinary concentrating ability, interstitial nephropathy, and progression to CHRONIC KIDNEY FAILURE. Both HNFJ1 and medullary cystic kidney disease (MCKD2) (OMIM: 603860) are caused by mutations in the UMOD gene. OMIM: 162000",*Gout;*Hyperuricemia;*Kidney Diseases
SCHWANNOMATOSIS 1,,,,,,,,,,,,,,,,,,,,,,,,
"AMYOTROPHY, HEREDITARY NEURALGIC",Brachial Plexus Neuritis,C10.668.829.100.500,C10.668.829.650.250,,,,,,,,,,,,,,,,,,,,"A syndrome associated with inflammation of the 
BRACHIAL PLEXUS. Clinical features include severe pain in the shoulder region which may be accompanied by 
MUSCLE WEAKNESS and loss of sensation in the upper extremity. This condition may be associated with 
VIRUS DISEASES; 
IMMUNIZATION; 
SURGERY; heroin use (see 
HEROIN DEPENDENCE); and other conditions. The term brachial neuralgia generally refers to pain associated with brachial plexus injury. (From Adams et al., Principles of Neurology, 6th ed, pp1355-6);2000; for CERVICO-BRACHIAL NEURALGIA use BRACHIAL PLEXUS NEURITIS 1965-1999; for BRACHIAL NEURALGIA; NEURALGIC AMYOTROPHY; PARSONAGE-TURNER SYNDROME; &amp; SHOULDER-GIRDLE NEUROPATHY use BRACHIAL PLEXUS NEURITIS 1989-1999; for BRACHIAL NEURALGIA use CERVICO-BRACHIAL NEURALGIA 1988-1999",
"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I",Hereditary Sensory and Autonomic Neuropathies,C10.500.310,C10.574.500.496,C10.668.829.800.175,C16.131.666.310,C16.320.400.415,,,,,,,,,,,,,,,,,"A group of inherited disorders characterized by degeneration of dorsal root and autonomic ganglion cells, and clinically by loss of sensation and autonomic dysfunction. There are five subtypes. Type I features autosomal dominant inheritance and distal sensory involvement. Type II is characterized by autosomal inheritance and distal and proximal sensory loss. Type III is 
DYSAUTONOMIA, FAMILIAL. Type IV features insensitivity to pain, heat intolerance, and mental deficiency. Type V is characterized by a selective loss of pain with intact light touch and vibratory sensation. (From Joynt, Clinical Neurology, 1995, Ch51, pp142-4);2000(1989); use NEUROPATHY, HEREDITARY SENSORY 1979-1988",
"NEUROPATHY, HEREDITARY, WITH LIABILITY TO PRESSURE PALSIES",Tomaculous neuropathy,C10.500.300,C10.574.500.495,C10.668.829.800.300,C16.131.666.300,C16.320.400.375,C05.550.150,C05.651.102,C05.660.077,C16.131.621.077,,,,,,,,,,,,,A hereditary neuropathy and arthrogryposis that manifests after prolonged periods of work in a kneeling position. It typically occurs in young adult males and is characterized by nerve conduction block and electrophysiologic abnormalities; segmental DEMYELINATION; and the presence of of sausage-shaped (tomaculous) swellings along the MYELIN SHEATH of sensory and motor nerves. Germline mutations and deletions in the PMP22 gene have been identified. OMIM: 162500,*Hereditary Sensory and Motor Neuropathy;*Arthrogryposis
CYCLIC NEUTROPENIA,Cyclic neutropenia,C15.378.553.546.184.564,,,,,,,,,,,,,,,,,,,,,"A rare form of neutropenia characterized by regular 21-day cyclic fluctuations in the number of blood NEUTROPHILS; MONOCYTES; EOSINOPHILS; LYMPHOCYTES; PLATELETS, and RETICULOCYTES. Patients experience periodic symptoms of FEVER, malaise, mucosal ulcers, and, rarely, life-threatening infections. The disease occurs both as a hereditary autosomal dominant disorder and in an acquired form, with identical phenotypic presentations. Mutations in the ELANE gene have been identified for the inherited form. OMIM: 162800",*Neutropenia
"NEUTROPHILIA, HEREDITARY","Neutrophilia, Hereditary",C15.378.553,,,,,,,,,,,,,,,,,,,,,,Leukocyte Disorders/*congenital
"CAPILLARY MALFORMATIONS, CONGENITAL",,,,,,,,,,,,,,,,,,,,,,,,
"SICK SINUS SYNDROME 2, AUTOSOMAL DOMINANT","Sick Sinus Syndrome 2, Autosomal Dominant",C14.280.067.093.249,C14.280.067.558.536,C23.550.073.093.249,C23.550.073.425.440,,,,,,,,,,,,,,,,,,,*Sick Sinus Syndrome
OCULODENTODIGITAL DYSPLASIA,Oculodentodigital Dysplasia,C07.650.800,C07.793.700,C16.131.850.800,C05.660.207,C16.131.621.207,C05.116.099.370.894.819,C05.660.585.800,C05.660.906.819,C16.131.621.585.800,C16.131.621.906.819,C05.330.495,C05.660.585.512.380,C16.131.621.585.380,C11.250,C16.131.384,,,,,,,"A rare hereditary autosomal dominant condition that affects multiple parts of the body; particularly the face, eyes, teeth, and extremities. Affected individuals often have small eyes (MICROPHTHALMIA), small or missing teeth, weak enamel, multiple cavities, and early tooth loss. Other common features include a thin nose and SYNDACTYLY between the fourth and fifth fingers. HYPOTRICHOSIS, syndactyly of the toes, curvature of fingers, MICROCEPHALY, and CLEFT PALATE may also occur but are less common. Some patients may also experience ATAXIA, MUSCLE SPASTICITY, hearing loss, and speech difficulties. Mutations in the GJA1 gene have been identified. OMIM: 164200","*Tooth Abnormalities;*Craniofacial Abnormalities;*Syndactyly;*Foot Deformities, Congenital;*Eye Abnormalities"
OBSESSIVE-COMPULSIVE DISORDER 1,,,,,,,,,,,,,,,,,,,,,,,,
FEINGOLD SYNDROME,Oculodigitoesophagoduodenal syndrome,A01.456.505.420.504,A09.371.337,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C05.660.585,C16.131.621.585,C06.267.250.725,C06.405.117.367.725,C08.702.750,C08.907.863,C23.300.575.185.250.725,,,,,"Digital anomalies with short palpebral fissures and atresia of esophagus, or duodenum; mutation in MYCN","Eyelids/*abnormalities;*Intellectual Disability;*Microcephaly;*Limb Deformities, Congenital;*Tracheoesophageal Fistula"
"OPTIC ATROPHY 3, AUTOSOMAL DOMINANT","Optic atrophy and cataract, autosomal dominant",C11.510.245,C10.292.700.225.500,C10.574.500.662,C11.270.564,C11.640.451.451,C16.320.290.564,C16.320.400.630,,,,,,,,,,,,,,,,"Cataract/*congenital;*Optic Atrophies, Hereditary"
"OPTIC NERVE HYPOPLASIA, BILATERAL","Optic Nerve Hypoplasia, Bilateral",C10.292.700,C11.640,,,,,,,,,,,,,,,,,,,,"An autosomal dominant congenital anomaly of the OPTIC DISK. It may be an isolated finding or part of a spectrum of anatomic and functional abnormalities that includes partial or complete agenesis of the SEPTUM PELLUCIDUM, other midline brain defects, cerebral anomalies, pituitary dysfunction, and structural abnormalities of the PITUITARY GLAND. Mutations in the PAX6 gene have been identified. OMIM: 165550",Optic Nerve Diseases/*congenital
OSTEOARTHRITIS SUSCEPTIBILITY 1,,,,,,,,,,,,,,,,,,,,,,,,
OSTEOGLOPHONIC DYSPLASIA,Osteoglophonic dwarfism,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
GNATHODIAPHYSEAL DYSPLASIA,"Osteogenesis imperfecta, Levin type",C05.116.099.708.685,C16.320.737,C17.300.200.540,,,,,,,,,,,,,,,,,,,,*Osteogenesis Imperfecta
MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
"OSSEOUS HETEROPLASIA, PROGRESSIVE","Osseous Heteroplasia, Progressive",C05.116.198,C16.320.850,C17.800.827,C23.550.751,,,,,,,,,,,,,,,,,,"A rare autosomal dominant disorder characterized by dermal OSTEOGENESIS beginning in infancy, followed by increasing and extensive bone formation in deep muscle and FASCIA. Mutations in the GNAS1 gene have been identified. OMIM: 166350","*Bone Diseases, Metabolic;*Skin Diseases, Genetic;*Ossification, Heterotopic"
BUSCHKE-OLLENDORFF SYNDROME,Buschke-Ollendorff syndrome,C16.320.850,C17.800.827,C05.116.099.708.702.685,C17.300.705,,,,,,,,,,,,,,,,,,"An autosomal dominant connective tissue disorder characterized by multiple subcutaneous NEVI or nodules. They may be either ELASTIN - rich (elastoma) or COLLAGEN -rich (dermatofibrosis lenticularis disseminata) on histologic examination. The lesions are usually nontender and firm. Affected individuals also have osteopoikilosis in the EPIPHYSES and metaphyses of long bones, wrist, foot, ankle, pelvis, and scapula. Some individuals have both skin and bone manifestations, whereas others may lack skin or bone manifestations. Mutations in the LEMD3 gene have been identified. OMIM: 166700","*Skin Diseases, Genetic;*Osteopoikilosis"
OTOFACIOCERVICAL SYNDROME,Otofaciocervical Syndrome,C16.131.077.208,C16.131.260.090,C16.320.180.090,,,,,,,,,,,,,,,,,,,,*Branchio-Oto-Renal Syndrome
"OVALOCYTOSIS, HEREDITARY HEMOLYTIC","Ovalocytosis, Hereditary Hemolytic",C15.378.071.141.150.365,C16.320.070.365,,,,,,,,,,,,,,,,,,,,,"*Elliptocytosis, Hereditary"
PACHYONYCHIA CONGENITA 1,,,,,,,,,,,,,,,,,,,,,,,,
PACHYONYCHIA CONGENITA 2,,,,,,,,,,,,,,,,,,,,,,,,
INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA,"Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal
 Dementia",C05.116.692,C10.228.140.380.266.299,C10.574.950.300.299,C18.452.845.800.300.299,F03.615.400.380.299,C05.651.534.500.280,C10.668.491.175.500.149,C16.320.577.280,C05.651.594.600,C10.668.491.562.500,,,,,,,,,,,,"An autosomal dominant disorder characterized by incomplete penetrance of three main features: disabling muscle weakness (in 90%), osteolytic bone lesions consistent with Paget disease (osteitis deformans) (in 51%), and frontotemporal dementia (in 32%). MUSCLE WEAKNESS is an isolated symptom in about 30% of patients and the presenting symptom in greater than half of patients. Mutations in the VCP gene have been identified for IBMPFD1. OMIM: 167320","*Osteitis Deformans;*Frontotemporal Dementia;*Muscular Dystrophies, Limb-Girdle;*Myositis, Inclusion Body"
PAROXYSMAL EXTREME PAIN DISORDER,Paroxysmal Extreme Pain Disorder,C10.597.617,C23.888.592.612,F02.830.816.444,G11.561.600.810.444,A03.556.124.526.767,A03.556.249.249.767,,,,,,,,,,,,,,,,,*Pain;Rectum/*abnormalities
PANIC DISORDER 1,,,,,,,,,,,,,,,,,,,,,,,,
PARAMYOTONIA CONGENITA OF VON EULENBURG,,,,,,,,,,,,,,,,,,,,,,,,
PARASTREMMATIC DWARFISM,Parastremmatic dwarfism,C05.116.900.800.875,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.116.900.800.500,C05.116.099.343,C16.320.240,C19.297,,,,,,,,,,,,,,*Scoliosis;*Intellectual Disability;*Kyphosis;*Dwarfism
PARIETAL FORAMINA,Parietal Foramina,C10.500.680.488,C16.131.666.680.488,C23.300.707.186,,,,,,,,,,,,,,,,,,,,*Encephalocele
PARIETAL FORAMINA WITH CLEIDOCRANIAL DYSPLASIA,Parietal Foramina With Cleidocranial Dysplasia,C10.500.680.488,C16.131.666.680.488,C23.300.707.186,C05.116.099.708.207,C05.660.207.207,C16.131.621.207.207,,,,,,,,,,,,,,,,,*Encephalocele;*Cleidocranial Dysplasia
PERRY SYNDROME,Perry Syndrome,C08.618.846.565,C23.888.852.638,F01.145.126.350,C10.228.140.079.862,C10.228.662.600,,,,,,,,,,,,,,,,,mutation in DCTN1,*Hypoventilation;Depression;*Parkinsonian Disorders
CHAR SYNDROME,Char syndrome,A01.378.800.667.430,C14.240.400.340,C14.280.400.340,C16.131.240.400.340,C16.131.077,A01.456.505,,,,,,,,,,,,,,,,,"Fingers/*abnormalities;*Ductus Arteriosus, Patent;*Abnormalities, Multiple;Face/*abnormalities"
"LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT","Leukodystrophy, Demyelinating, Adult-Onset, Autosomal Dominant",C10.228.140.163.100.362.775,C10.228.140.695.625.775,C10.314.400.775,C16.320.322.906,C16.320.565.189.362.775,C18.452.132.100.362.775,C18.452.648.189.362.775,,,,,,,,,,,,,,,,*Pelizaeus-Merzbacher Disease
THIOUREA TASTING,,,,,,,,,,,,,,,,,,,,,,,,
PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY,Pigmented Paravenous Chorioretinal Atrophy,C11.768.585,C11.270,C16.320.290,,,,,,,,,,,,,,,,,,,,"*Retinal Degeneration;*Eye Diseases, Hereditary"
"PITUITARY DWARFISM DUE TO ISOLATED GROWTH HORMONE DEFICIENCY, AUTOSOMAL DOMINANT","Isolated Growth Hormone Deficiency, Type II",C05.116.099.343.445,C05.116.132.358,C10.228.140.617.738.300.300,C19.297.312,C19.700.482.311,,,,,,,,,,,,,,,,,PROM,"*Dwarfism, Pituitary"
KINDLER SYNDROME,Poikiloderma of Kindler,C17.800.865.187,C23.300.122,C17.800.600,C16.131.831.493,C16.320.850.275,C17.800.804.493,C17.800.827.275,C17.800.865.410,C07.465.714,,,,,,,,,,,,,"A hereditary, autosomal recessive form of epidermolysis bullosa.. It is characterized by congenital blistering, skin atrophy, photosensitivity, skin fragility, and scaling; periodontal disease may also occur.  Mutations in the KIND1 gene have been identified. OMIM: 173650",*Blister;*Photosensitivity Disorders;*Epidermolysis Bullosa;*Periodontal Diseases
MEDULLARY CYSTIC KIDNEY DISEASE 1,Medullary cystic kidney disease 1,C12.777.419.403.875.500,C13.351.968.419.403.875.500,,,,,,,,,,,,,,,,,,,,,"*Polycystic Kidney, Autosomal Dominant"
POLYCYSTIC LIVER DISEASE,Polycystic liver disease,C04.182,C23.300.306,C06.552,,,,,,,,,,,,,,,,,,,A predominantly autosomal dominant hereditary condition characterized by multiple cysts of various sizes in the LIVER of affected patients. May also occur together with AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE. Germline mutations in PRKCSH and SEC63 genes have been identified. OMIM: 174050,*Cysts;*Liver Diseases
